Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,140401,91126796,117.8068354,-33.38929081,25.48412978,-110.0643669,42.0034,-1.69103,2.48967,-1,192.2643241,32.34516381,-31.68447212,-186.8567765,45.2782,-2.12503,-0.77508,1,89.12027895
GSF-GSF,141956,136109945,329.0527247,47.18406795,27.4211546,-324.4956697,54.5734,-2.48287,0.526446,-1,113.528858,-14.81666695,-32.06856181,-107.8928882,35.326,-1.83545,-2.00361,1,88.59653109
GSF-GSF,141956,78468893,114.9580428,19.55122393,-34.75635951,-107.8197418,39.878,-1.72035,-1.05839,1,185.3635505,-26.14961304,36.9533832,-179.7506357,45.2698,-2.08757,2.18663,-1,86.30163205
GSF-GSF,141956,192779968,80.55052551,17.20579844,-20.32450355,-76.02145891,26.6294,-1.7715,-0.868306,1,35.3152466,-25.61444545,24.16033418,-2.71018064,35.2111,-0.0768937,2.3854,-1,84.50317828
GSF-GSF,141956,179110337,145.5705637,-26.38630966,25.95264481,140.7871155,37.0105,2.04604,2.36448,-1,375.168527,66.13609726,-7.675482983,369.2133898,66.58,2.41415,-0.115539,1,95.6795945
GSF-GSF,141956,293797516,44.72269923,-8.461125246,-40.46578026,17.06018209,41.3409,0.401774,-1.77692,1,54.89210281,-31.29242863,41.75867311,-17.03349877,52.1824,-0.320887,2.21389,-1,91.32957601
GSF-GSF,141956,152264671,42.46680088,-27.18385792,-32.59375315,-1.45406368,42.4419,-0.0342534,-2.26594,1,51.43065833,26.00587981,28.04031932,-34.38818582,38.2435,-0.808265,0.823023,-1,86.65993657
GSF-GSF,141956,181120746,60.57789568,19.0082907,30.40940754,48.82247702,35.8615,1.11535,1.01214,1,36.55162545,-17.01070947,-23.9279239,-21.77410259,29.3583,-0.686468,-2.18881,-1,93.04047159
GSF-GSF,141956,73817338,182.3924177,-32.94646212,-12.12104545,178.9821358,35.1054,2.33156,-2.78906,1,261.8864092,44.29731685,13.75078275,257.7462997,46.3825,2.4162,0.300989,-1,80.74931407
GSF-GSF,141957,53157285,174.4435246,15.47378052,-32.10474565,170.7641377,35.6392,2.2707,-1.12167,-1,33.97682705,-12.91630821,26.12416073,17.46774124,29.1428,0.568297,2.02997,1,89.24962017
GSF-GSF,141957,35438521,60.05734223,12.35955598,46.3215536,-36.1723569,47.9421,-0.696744,1.31005,-1,91.58781328,-5.407748711,-41.29482026,-81.5709606,41.6474,-1.42497,-1.70101,1,95.17966538
GSF-GSF,141957,1207369,92.38710669,-29.00146062,-17.68542548,85.91576392,33.9685,1.65805,-2.59399,1,45.71336184,36.40012132,18.1837923,20.83488219,40.6893,0.491962,0.46329,-1,87.29862779
GSF-GSF,141958,16597843,57.90161649,-39.45282316,-18.57374879,-38.09314626,43.6063,-0.789092,-2.70159,1,48.1772699,39.26966527,13.19305035,-24.59443325,41.4266,-0.563404,0.324113,-1,85.40498843
GSF-GSF,141960,144608469,40.04799567,-7.180154719,27.05689971,28.63933508,27.9934,0.897596,1.83019,1,50.17137739,12.5627844,-29.12117864,-38.87544871,31.7154,-1.03236,-1.16352,-1,89.45123423
GSF-GSF,141960,20461298,45.47825506,-9.577417919,-37.18481126,24.36872095,38.3984,0.598291,-1.82288,1,63.93697781,10.71406944,45.93936405,-43.1592479,47.1722,-0.819923,1.34167,-1,107.4275342
GSF-GSF,141960,104209989,239.6925863,-46.48767225,43.39315589,231.102718,63.593,2.00192,2.39061,-1,89.92119801,27.7620544,-34.43172292,78.29142126,44.2298,1.33583,-0.89223,1,111.7566881
GSF-GSF,141960,180877472,174.1534111,27.3788166,-23.5701783,-170.3650718,36.1269,-2.25511,-0.710783,-1,35.32060031,-16.81923261,24.93759649,-18.51417029,30.0794,-0.582079,2.16417,1,89.94786662
GSF-GSF,141960,180877472,3.068593293,-2.605473709,-0.058483563,-1.619984863,2.60613,-0.587263,-3.11915,-1,35.32060031,-16.81923261,24.93759649,-18.51417029,30.0794,-0.582079,2.16417,1,8.488610364
GSF-GSF,141960,180877472,3.068593293,-2.605473709,-0.058483563,-1.619984863,2.60613,-0.587263,-3.11915,-1,174.1534111,27.3788166,-23.5701783,-170.3650718,36.1269,-2.25511,-0.710783,-1,25.62707438
